id,trigger,conditions,script,text,options,notes
aotd_proceed_with_asking,DialogOptionSelected,"$option == aotd_ask_for_supply
!AoTDCommision isStillWaiting",AoTDCommision printResponse,,"5:aotd_give_supplies:""Please deliver them to our ships""
10:aotd_give_supplies_storage:""Please deliver them to local storage""
20:aotd_end_conversation:""On second thought, I don't need those supplies""
",
aotd_deny_free_supply,DialogOptionSelected,$option == aotd_end_conversation,FireAll PopulateOptions,,,
aotd_grant_supplies_storage,DialogOptionSelected,$option == aotd_give_supplies_storage,"AoTDHandleSupplyGiving toStorage
FireAll PopulateOptions",,,
aotd_grant_supplies_ship,DialogOptionSelected,$option == aotd_give_supplies,"AoTDHandleSupplyGiving toShip
FireAll PopulateOptions",,,
#Retirement option to leave faction and just be old man,,,,,,
aotd_retire_init,DialogOptionSelected,$option == aotd_cmsn_retire,AoTDRetirementOption init,,,
aotd_retire_confirm,DialogOptionSelected,$option == aotd_confirm_retirement,"AoTDRetirementOption proceed
FireAll PopulateOptions",,,
aotd_retire_cancel,DialogOptionSelected,$option == aotd_cancel_retirement,FireAll PopulateOptions,,,
,,,,,,
#AoTDTraitorFleet,,,,,,
,,,,,,
,,,,,,
TraitorHunterDefaultFirstTime,OpenCommLink,"$entity.aotd_traitor_hunter score:10000
!$entity.ignorePlayerCommRequests","$entity.ignorePlayerCommRequests = true
AoTDCreateInsultForLeaving",,cutCommLinkNoText:Cut the comm link,
TraitorHunterDefault,OpenCommLink,"$entity.aotd_traitor_hunter score:10000
$entity.ignorePlayerCommRequests","ShowDefaultVisual
EndConversation",The comm link is cut before you have a chance to say much of anything else.,,
,,,,,,
rh_handleCommission,DialogOptionSelected,"$option == rh_acceptMembership
!AoTDCommision hasFactionCommission score:100000
!$didCommissionStep","AoTDCommision accept
$didCommissionStep = true 0","Meanwhile, you skim and certify the executive summary of the Persean League commission credentials.",rh_acceptMembership:Continue,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
